zone_id;link_zones
1;001_13
2;014_10
3;015_7
4;015_9
5;002_1
6;004_1
7;004_12
8;004_18
9;004_2
10;004_23
11;004_5
12;004_8
13;007_15
14;008_15
15;009_15
16;008_12, 008_9, 008_11, 008_10
17;008_2, 008_3, 008_8
18;008_1, 009_16
19;009_8
20;009_3, 009_4
21;010_1, 010_2
22;011_6, 011_7
23;011_1, 011_2
24;012_18, 012_19
25;009_10, 009_12
26;010_15, 010_17, 010_16
27;006_8, 006_6, 006_7, 006_5
28;006_1, 006_3, 015_16
29;008_14, 007_18
30;006_18, 006_9, 006_19, 006_20
31;004_15, 004_14, 004_13
32;011_12, 011_11
33;013_29, 013_28, 014_5
34;015_10, 013_25
35;012_7, 012_8
36;010_3, 009_1
37;008_13, 008_16
38;004_25, 004_26, 004_9
39;003_21, 003_22, 003_23
40;008_4, 008_5
41;011_21, 015_8
42;007_13
43;010_9, 010_14
44;011_22
45;009_11
46;003_13, 003_12
47;009_6
48;001_14
49;004_19, 004_20
50;004_17, 004_16
51;001_12
52;003_26, 003_27
53;001_28, 001_21, 001_20
54;003_25, 003_17
55;003_14, 003_15, 003_16, 003_9
56;005_22
57;007_21
58;006_17, 006_16, 006_10
59;005_16, 005_17
60;001_10, 002_7, 002_6, 001_11
61;013_23, 013_24, 013_26, 013_27
62;008_7, 008_6
63;009_13, 009_14, 008_17
64;007_19, 007_17, 007_20
65;004_3
66;014_21, 014_12, 014_20, 014_15, 014_19, 014_14
67;002_25, 002_24, 002_21, 002_20, 002_19
68;003_8, 003_10
69;014_17, 014_16, 014_11, 014_18
70;004_6
71;007_24
72;015_15, 015_14
73;006_13, 006_14, 006_15
74;010_19, 010_12
75;004_10, 004_11, 004_24
76;012_16, 012_10
77;014_7, 015_11
78;014_31, 002_5, 002_2, 002_3, 002_4
79;013_19, 013_20, 013_15
80;012_3, 012_6, 012_2
81;015_1
82;012_21, 012_20, 012_22
83;013_1, 012_4
84;014_3, 014_4
85;013_12, 013_11
86;001_2, 001_3, 001_1
87;007_9, 007_11, 007_10
88;001_25, 001_26, 001_27, 001_22
89;002_17, 002_18
90;012_15, 012_14
91;015_5
92;012_17, 012_9
93;012_1
94;013_4, 013_3, 013_2
95;013_9, 013_10, 013_8
96;013_22, 014_2, 014_1
97;009_7
98;009_9
99;009_5
100;007_16, 007_12
101;010_8, 010_4
102;005_6, 005_4, 005_1, 005_5
103;005_8, 005_7, 005_11, 005_9
104;005_19, 005_18
105;014_13
106;003_2, 003_5, 003_4, 003_3, 003_6
107;010_5
108;010_7
109;004_4
110;007_23, 006_21
111;005_21, 005_20
112;007_5, 007_6, 007_3
113;011_19, 011_20
114;014_23, 014_22
115;014_9
116;005_2, 005_3, 003_1
117;014_27, 014_24, 014_25, 014_26
118;001_9
119;009_2
120;011_16, 011_15
121;015_2
122;004_7, 001_29
123;006_4, 006_11
124;010_6
125;010_18, 010_13
126;015_19, 015_21, 015_20
127;015_18, 015_17
128;007_22
129;014_8, 014_6
130;013_14, 013_13, 013_21
131;006_2, 006_12, 007_4
132;011_5
133;011_4
134;011_3
135;011_10, 011_9
136;015_6
137;012_12, 012_13
138;013_18, 012_11
139;004_22, 004_21
140;001_19, 001_16, 001_18, 001_17
141;001_8, 001_6, 001_5, 001_7, 001_4
142;002_13, 002_10, 002_14, 002_22
143;011_18, 011_17
144;011_8, 011_14
145;011_13
146;013_16, 013_7, 013_17, 013_6
147;013_5, 012_5
148;015_4
149;005_10, 005_12, 005_13, 005_14, 005_15
150;015_12, 015_13
151;007_1, 007_7, 007_2, 007_8
152;010_10, 010_11
153;007_14
154;015_3
155;001_15
156;003_19, 003_20
157;001_24, 001_23
158;003_11, 003_7
159;002_9, 002_8, 002_15, 002_16
160;002_11, 002_12, 014_30, 002_23, 014_29, 014_28
161;003_18, 003_24
